text,id
@TheTalkCBS what a bunch of snowflakes whining about the Covid virus being called the Wuhan virus. It came from wuh… https://t.co/KHixfSvq67,1
China’s inactivated COVID-19 vaccine is expected to finish clinical trials and get ready for the market as early as… https://t.co/Uf5FG8P5E1,1
"Coronavirus: Helen Clark on China and Covid-19 https://t.co/bhJpSEK9fK Very much excellent Leaders , Jacinda Ahdern… https://t.co/Qm9XGVXEIG",1
"China racist evidence towards black people,these actions should not be tolerated 😡😡😡#BlackLivesMatter #HumanRights… https://t.co/iLdQSEn12c",1
The known unknown about the future of US-China relations:  https://t.co/ctWIROqFkf,1
"Port of Vicksburg/Jackson seize two shipments of more than 2,000 Lainhua Qingwen capsules and Balangen granules adv… https://t.co/Y2LThxF6Pa",1
"Brain Flushings: China admits their virus didn't start in Wuhan wet market  #COVID-19

https://t.co/vM0SIHAvvm via @RobHoey",1
@tyst1ck @notnowthankyou2 @gal_atias @ShonHarris9 @EmrataPhanPaige @realDonaldTrump @SenatorTimScott Let’s make a d… https://t.co/UFWDh5DY4e,1
"#Asian experts convened by #AsianBureauofEconomicResearch released Asian #COVID-19 recovery strategy paper, calling… https://t.co/gZTyN6jY4S",1
Covid (China is asshole). Being on house lockdown 2 mths. Mass unemployment. Teens out of school &amp; college. This is… https://t.co/RWjCPLtRQT,1
"@ProfKarolSikora Huge question marks over our death rates....heart attacks, cancer, dementia, pneumonia, copd the l… https://t.co/Vjg88PSJTu",1
"@realDonaldTrump ""did nothing'? Ah yes, you mean like; 
- didn't tear gas people for a photo op
- didn't bail on WH… https://t.co/gOy2COts1A",1
"How many lives were lost because 🇨🇳China continually delayed giving 🇺🇳WHO information on COVID-19? 10,000? 100,000? https://t.co/aSKe9qEfG1",1
"Meanwhile:

Chinese Disinfo Hits U.S. Biolab With New COVID-19 Conspiracy 

https://t.co/hU7kvDl2R7",1
@ForeignPolicy Are you seriously thinking Americans will even WANT Their hard earned monies given to an org whose h… https://t.co/SwcyaZP9LU,1
When authoritarianism fails it fails big.  China's covid response failed because officials were far more concerned… https://t.co/EZtbiJDFgw,1
Study: Contact tracing slowed COVID-19 spread in China. Isolation and contact tracing—which are now key topics as U… https://t.co/EbISZmX7p3,1
"@bobjustice10 @OffGuardian0 @Charlotte3003G @Jimmymack010 @DissidentDodges Let's recap.
When you found that i WASN'… https://t.co/5VHBNlc1Kn",1
"I'm Getting A Sick Of COVID-19 It's Been 6 Months Later Of December 2019 Since Wuhan, Hubei, China We Got A Lot Of… https://t.co/xaTC05XqMQ",1
"I know Covid is not on anyone's mind or whatever, but just a reminder that the US will never be able to match China… https://t.co/fyWcBoR2gV",1
"@realDonaldTrump This year US is being attacked by many sides. Covid, China, Media, left parties, etc, and all of t… https://t.co/Ngz9io9d8e",1
