text,sentiment
Why was Lombardy hit harder than Italy's other regions? https://t.co/Mvvqr9seA6,1
Covid-19 crisis: Italy to open travel as local officials fret over Lombardy – world news https://t.co/1ahQMSj9hH,1
@themannix The article I sent suggested they knew this in 2018. Theyve sent warning. There is hearsay American Inte… https://t.co/SwKkfOB7qU,1
"Country of ~100M, borders China - no COVID deaths - How can that be???https://t.co/yD3vTgWdHY
While the US is fumbl… https://t.co/1HUHixV5u8",1
"@covidperspectiv @latimesmuskal Covid Deaths per 100k population: Belgium 82.56, Spain 58.05, UK 57.52, Italy 54.99… https://t.co/JVtsxpk40k",1
"Percentages of Pediatric #Covid_19 fatalities

Belgium
0-14= 0%
15-24= 0.01% (1)

Canada
0-19= 0%

Germany
0-9 = 0.… https://t.co/QtpYZxGGi7",1
"@COVID_Australia Decline: Switzerland, Ireland, Italy, Netherlands, Belgium

Steady: US, Canada, UK

Long steady pe… https://t.co/7uPz0IDneL",1
@ReaperSteven @NoEazyAnswers @CER_Grant @ShelaghFogarty @CER_London And Covid has shown the EU up and turned Italy… https://t.co/lEGuM23afc,1
"@benosully Benefit of hindsight - but led by the science at the time. Europe arent reporting all their deaths, thei… https://t.co/94LHEFIslD",1
@skypresspreview Please tell the gentleman that Brexit on 31 December 2020 stops the UK paying the EU €20 thousands… https://t.co/oyQC2o9b6M,1
Cities fear protests may fuel new wave of virus outbreaks; EU urges Trump not to cut WHO funding https://t.co/7y0EVzSIP8,1
"Deaths from the COVID-19 epidemic in Italy climbed by 111 on Saturday, against 87 the day before, the Civil Protect… https://t.co/OBr8xe9tz6",1
"@StephenSociali1 @rightNtruthMat @ScottAdamsSays @realDonaldTrump @TheConWom France, Belgium, Italy, Britain, MHRA… https://t.co/sMpZMeIfsm",1
Covid-19 in Brazil continues to spiral out of control: the country today passed France for most deaths -- now behin… https://t.co/I7oCRssr2Y,1
"Did trump ever ask: ""How did you do that, New Zealand?"" Or ""Italy, you managed to get a grip on ravaging COVID, help me please.""",1
@chattymitchie @woofit79 @PaulJBelcher @PatriciaPouncey @RupertMyers @mwarhurst London managed capacity but wards a… https://t.co/2MVUDjSWtl,1
"Early lockdown at a retirement home in Emilia-Romagna, Italy a week before the first case was recognized in Italy o… https://t.co/q3dtUIpYIS",1
"@lacroixheauxx COVID-19 CREATES BLOOD CLOTS ACCORDING TO ITALY DOCTORS, ITS CLEARED UP WITH ASPIRIN OR HCQ &amp; ZINC.… https://t.co/6tYE4phKZl",1
"Deaths from the COVID-19 epidemic in Italy climbed by 111 on Saturday, against 87 the day before, the Civil Protect… https://t.co/uN7XhqsPHQ",1
"@twistedecofiend @BobQuarantine @CNN @realDonaldTrump I’m from the #UK, but live in #Italy and this whole covid pan… https://t.co/7WKspr6s3o",1
@Pontifex The Pope measures radiation and it does seem they are shortening his sleep.@ItalyMFA Italy had a lot to p… https://t.co/skbyCQntxJ,1
@IngrahamAngle Anyone Heard Fake Media Talking about Italy recently??? Italy (Red) death toll started dropping Earl… https://t.co/gMbhPzVGph,1
"@Galllomathis Today the “orange vests” are protesting against the euro in a square in Italy, people have been criti… https://t.co/B91iUybTYl",1
Why was Lombardy hit harder than Italy's other regions? https://t.co/OgVJ6ELSIT,1
World Stunned After Italy Comes Clean About COVID-19 Deaths – Sons of 1776 https://t.co/gMx9y89v9a,1
"Coronavirus  COVID-19 
Total Confirmed
6,014,117
Confirmed Cases by Country/Region/Sovereignty
1,765,723 US
465,166… https://t.co/T01G121VuH",1
"@jackhutton She was the grandmother of my son, 86yrs.
She remained at home, when my son was brought to hospital(Per… https://t.co/RtB6fny1l1",1
@ScottAdamsSays @realDonaldTrump @TheConWom France India Britain Italy &amp; Belgium have BANNED the use of your drug o… https://t.co/eBrpNBME5N,1
"@Veritas_Veritas UK (66M) goes to the top of the European Table of Covid Deaths per Million of Population, just ahe… https://t.co/aDUX5j33ie",1
"That was shortly after PM Paul Martin negotiated an ""asymmetric"" health agreement with QC, the province with a COVI… https://t.co/cuf38WcoJ6",1
"@robertjwest UK (66M) goes to the top of the European Table of Covid Deaths per Million of Population, just ahead o… https://t.co/79YKWcHynL",1
A new COVID-19-themed campaign targets Italian users https://t.co/VxvexXGuJU https://t.co/Ol0u6Li4R4,1
"@ZaleskiLuke Same thing as East Coast USA (fr Italy or w/ Italy-origin-exposeds), in West Coast USA it was returnin… https://t.co/6PtLczM1EW",1
@osborne_stephen @elrondhubbard1 @DavidLammy I deal in facts not hearsay. As of this morning deaths from COVID-19:… https://t.co/qDqxLplNLK,1
"@mattharding007 @KylieMulcare @terrychristian @thatginamiller @GaryLineker @piersmorgan So before Covid, the EU was… https://t.co/D3pSo19PeB",1
"Johns Hopkins University says the global Covid-19 death toll hit 365,011 as of 6:00 UTC on Saturday 30 May.

The Un… https://t.co/OPlN1Dvck3",1
"@sianharries_ It never went away, I’ll bet you a quid 😜online gambling has gone through the roof. Priorities were l… https://t.co/OjEWOqKQHq",1
@petereley @elrondhubbard1 @DavidLammy Oh no it’s not. Spain released its revised figures which are worse. Italy st… https://t.co/l79cMVfDxP,1
"So Covid-19 is not a virus but a bacteria that causes death🤭🤔, I've been beating myself about why Italy was celebra… https://t.co/NzmqS6swJI",1
"Family heirlooms are being sold just to put food on the table. Very sad, indeed. https://t.co/fhiwtMcKIK… https://t.co/eKDdJD29W4",1
"They bought a $1 house in Italy, then Covid-19 struck https://t.co/32IG9R4BoJ via @CNNTravel",1
"I Removed all Chinese apps from my phone, Do You?

#china #coronavirus #usa #japan #covid #taiwan #india… https://t.co/blDAuWgkKp",1
"Mar 17th “I felt it was a pandemic long before it was called a pandemic.” - @realDonaldTrump. Mar 20th, the world d… https://t.co/PTDdw4v0Qm",1
@devisridhar @LabGrassroots For me it was mid -end Feb my dad was in hosi (not covid) and every day I saw the list… https://t.co/j2DypC2mEi,1
