text,id
Coronavirus: How Turkey took control of Covid-19 emergency https://t.co/kcwsAUWPr1,1
"🔻 Turkey had one of the world’s fastest growing COVID-19 outbreaks, yet it has averted a major disaster. ➖ https://t.co/PvU6lJetsT",1
"•Australia Bushfire
•Turkey Earthquake
•Jakarta Flooding
•Delhi Riots 
•Plane Crash in Iran
•Covid-19 
•Vizag Gas L… https://t.co/ZvQsoENzlc",1
@sigismundtgreat Do You know exactly which 29 nation Greece opened the boarders? The ones that have slower rate of… https://t.co/JEcTrHmfe7,1
How Turkey took control of Covid-19 emergency https://t.co/NMt796Aa00,1
"Coronavirus Watch in Mideast, May 30: https://t.co/WjZ1l67TMd

--Turkey's COVID-19 cases reach 163,103 with 4,515 d… https://t.co/4u6NN4sBd3",1
"Italy, Spain, Germany &amp; Turkey are fighting with COVID-19. In Pakistan we are having flu cases. Don't confuse the p… https://t.co/RRQHjEkaOZ",1
"Coronavirus Watch in Mideast, May 30: https://t.co/6V55bcbHLU
--Turkey's COVID-19 cases reach 163,103 with 4,515 de… https://t.co/AOnsD5L768",1
"@BorisJohnson Deaths yesterday across Europe from Covid. Good luck everyone.

Spain        2
Italy         87
Germa… https://t.co/oPOU1QJSWn",1
"@MattHancock Deaths yesterday across Europe from Covid. Good luck everyone.

Spain        2
Italy         87
German… https://t.co/YMps9lnXQl",1
"Daily increase in the number of infected with COVID-19 in May:
Russia - about 8000 people.
USA - about 22,000 peopl… https://t.co/9Jhol0QBw8",1
"@PaulJBelcher @RupertMyers @mwarhurst Deaths yesterday across Europe from Covid. Good luck everyone.

Spain… https://t.co/YeEoK5cG5H",1
BBC News - Coronavirus: How Turkey took control of Covid-19 emergency https://t.co/JWDw1EKL9m,1
Missed this story from last wk: UAE using COVID-19 to out its ties to Israel. Turkey raps the decision. A footnote… https://t.co/jLJGvzoOEz,1
"@AndyWood23 @AndyBurnhamGM @EvertonNewsFeed Yesterday the UK recorded more COVID deaths than:
 
Spain
Italy
Germany… https://t.co/JGv3GoCEs1",1
"#CoronaVirus Cases - Most affected countries
USA 1,810,937
Brazil 469,510
Russia 396,575
Spain 286,308
UK 272,826
I… https://t.co/YrdxGCIXGK",1
Coronavirus: How Turkey took control of Covid-19 emergency https://t.co/domHHF6BB2,1
Turkey and Greece want to build border wall to stop illegal immigration due to Covid-19 https://t.co/VBl4zssdOi,1
Coronavirus: How Turkey took control of Covid-19 emergency  https://t.co/74OcOEPSzb,1
Turkey threatens to build a border wall between their borders and Greece to prevent illegal immigration due to Covi… https://t.co/4BacCJwRy4,1
@anfenglish's account has been withheld in Turkey in response to a legal demand. Learn more.,1
Turkish Airlines is set to resume flights to five provinces in Turkey from June as the country’s economy reopens fo… https://t.co/mowpBZiAaj,1
"COVID19 Stats for Turkey as of May 30, 2020:

Total Cases: 163103
New Cases: +983
Total Deaths: 4515
New Deaths: +2… https://t.co/RYEkZzXwgs",1
"@MattHancock Covid deaths across Europe wed

Spain - 2
Northern Ireland - 3*
Ireland - 6
Hungary - 8
Wales - 10*
Po… https://t.co/Y3gn965FRw",1
@tlxhhhyy54 @LuckyHeronSay @piersmorgan So how many have come through airport Covid positive and gone on and starte… https://t.co/DiTsfWQual,1
"26 more die of COVID-19 in Turkey, number of cases reaches 163,103 https://t.co/aUJYFDYoOm",1
"TURKEY : COVID-19 CASES - 162,120 CASES AND 4,489 DEATHS",1
@covid_comedy Turns out not every family queues to slap the raw Christmas turkey on Christmas Eve. I learned this a… https://t.co/aaherBfPwX,1
COVID-19 hits Turkey’s Black Sea mining province disproportionately hard – Duvar English https://t.co/kgPiglen8E via @duvarenglish,1
"We really shouldn't be easing #lockdown prematurely! 
Yesterdays #covid deaths across Europe:
Spain       2
Italy… https://t.co/bWPaR2SQpD",1
"UPDATE: New cases of #coronavirus #COVID19 #COVID_19 

South Africa (+1727, tot. 30967)
US (+1421, tot. 1759725)
Eg… https://t.co/N8waUEWFSg",1
Coronavirus: How Turkey took control of Covid-19 emergency - BBC News https://t.co/GGn9xgmALn,1
"Covid-19 update: Turkey's death toll rises to 4,515 https://t.co/VHbbY6ZIdm https://t.co/wUbytQKfqe",1
"@MattHancock Yesterday the UK recorded more COVID deaths than:
 
Spain
Italy
Germany
France
Turkey
Belgium
Portugal… https://t.co/xSA7dC5QLX",1
"The total number of novel coronavirus tests in Turkey has exceeded 2 million, while the daily test count has increa… https://t.co/2qBUhLlafB",1
"Covid-19 deaths - yesterday across Europe:

Spain       2
Italy         87
Germany 24
France     52
Turkey     28
B… https://t.co/BRVURfrNdb",1
"Most confirmed cases of coronavirus COVID-19:

🇺🇸 USA - 1,806,071
🇧🇷 Brazil - 469,510
🇷🇺 Russia - 396,575
🇪🇸 Spain… https://t.co/e8Po5rq40M",1
@JeffHecht24 @LilTimmyF I think the initial reason behind keeping liquor stores open is because addicts can go into… https://t.co/Lof31HCwvz,1
"https://t.co/GAe6TEf5Jq
HADDA ~ THE CITY OF THE 23,000 GRECO-BUDDHIST SCULPTURES AT AFGHANISTAN 
#American #India… https://t.co/SQajIyK7s1",1
"Coronavirus: 
How #Turkey 🇹🇷 took control of #Covid_19 emergency.⬇️ https://t.co/kuOXHNVy07",1
"https://t.co/BRjbzvJ2Lx
THE HELLENISTIC KUSHAN EMPIRE AND THE SPREAD OF BUDDHISM 
#Greece_Turkey_Borders #Finland… https://t.co/pHztWVEk5s",1
"👇

How Turkey took control of COVID-19 emergency? 

https://t.co/6mMiIIRhRd",1
"As the total number of Covid-19 tests in Turkey exceeds two million, here's a look at the latest figures for May 30 https://t.co/WcDWSwHH4b",1
"Muertes ayer por #Covid_19 en #UE A ver si no se ha hecho tan mal la cosa! 
Info: @ter4bithi4  
💪Spain     2
📉Irela… https://t.co/YmyLJBAcjV",1
"With mass unrest in the US,  Bolsonaro’s admin’s continuous meltdown over corruption and failure to contain COVID,… https://t.co/O8F7TdS0oK",1
Coronavirus: How Turkey took control of Covid-19 emergency https://t.co/9YjmenkDI8,1
"@maggieNYT Republican Senators had the power to rid this SCOURGE from the White House, how much more of this do Ame… https://t.co/5kR7jPyZBl",1
"Other countries have confirmed receiving deportation flights, but there hasn't been reporting on any possible COVID… https://t.co/WXAvVbIQaX",1
"May 30 - Turkey's COVID-19 updates: 

New cases: 983
Total: 163.103

New deaths: 26
Total: 4.515

39.230 tests cond… https://t.co/rdFulmJ1Qf",1
"#Covid_19 deaths yesterday (Europe)
Spain       2
Italy         87
Germany 24
France     52
Turkey     28
Belgium… https://t.co/d6FA3h4Q65",1
Malaysia and Turkey Have Agreed To Collaborate In Efforts To Develop Covid-19 Vaccine. #Muslims #Somali #Islam https://t.co/dmFMvOLKtI,1
"#BREAKING Tally of COVID-19 cases in Turkey reaches 163,103, with 983 additions over past 24 hours: health minister",1
BBC News - Coronavirus: How Turkey took control of Covid-19 emergency https://t.co/jg4ZMi676S,1
Any celebrity who claims to have COVID/corona takes adren0chrome and has had their supply stopped. Cold turkey.,1
"Today would have been the finale of the @ChampionsLeague in Istanbul Turkey.
Too bad today we're idle and bored due… https://t.co/4RmrHT1wpY",1
"COVID 19 and AKA’s internal issues
@AtillaYesilada1 
#Turkey #Emirates_Policy_Center 
#COVID19 #COVID #Coronavirus https://t.co/nYHrkjGrqY",1
@MobilePunch The same turkey that is leading Covid-19 title race in Asia? #Wonderful.,1
"@MFATurkey ""How Turkey handled Covid"".They  hid the real stats and they put lockdowns for 4 days max.Perfect!",1
"Washington should sanction #Turkey for its S-400 purchase. This would send a clear message to #India: 

What happen… https://t.co/smsbGVYga2",1
"@toryboypierce Yesterday the UK recorded more COVID deaths than:
 
Spain
Italy
Germany
France
Turkey
Belgium
Portug… https://t.co/8Vsqd0woHS",1
"📚#COVID19Glossary

More on https://t.co/r1iNNEnC6x!

For COVID-19 Glossary: https://t.co/S0vIntyVYw

@yeeorgtr_EN… https://t.co/joX7oTlQK9",1
"COVID 19 deaths yesterday: 
Spain       2
Italy         87
Germany 24
France     52
Turkey     28
Belgium   42
Swed… https://t.co/zx9bhL6SOn",1
#Turkey resumes mass prayers as #COVID19 restrictions eased https://t.co/lMGpsSTYmW,1
"@kinggazz72 @SadiqKhan What are you driving at?

Europe––Deaths yesterday:
Spain      2
Italy        87
Germany 24… https://t.co/X0xYIYV58Y",1
Coronavirus: How Turkey took control of Covid-19 emergency https://t.co/D4vCNuK580,1
"@SadiqKhan Deaths yesterday across Europe:
Spain       2
Italy         87
Germany 24
France     52
Turkey     28
Be… https://t.co/3U5ODntuZv",1
"@GitTheBiker @MCRCycleSam @Hotmkym @SadiqKhan Deaths yesterday across Europe:
Spain       2
Italy         87
German… https://t.co/T4Me7T6fhN",1
"Coronavirus: How #Turkey took control of Covid-19 emergency
@MFATurkey
@Taipei_TTO
@BBCWorld https://t.co/2lL3DS31KH",1
"#TravelChat by #OLiTravel. 
🌍🌎🌏
Episode nr.3, Guest: Timur Engürlü - Antalya, Turkey 🇹🇷 (28.05.2020).
Theme: About… https://t.co/HF6EzNrWdw",1
"@sfrantzman Istanbul recorded 2,100 more deaths over recent years between March and April, The Times found, suggest… https://t.co/nUTcFrf92M",1
"@The_Bossman525 @alisonstott @LBC Yesterday the UK recorded more COVID deaths than:
 
Spain
Italy
Germany
France
Tu… https://t.co/3hdOdGS6kF",1
"#MEIRecommends spreading word about #MEIArtGallery OPEN CALL for emerging, mid-career &amp; established artists from th… https://t.co/1WW0LooXoW",1
"Corona crisis impact on Turkey’s internal policy
@AtillaYesilada1 
#Turkey #Emirates_Policy_Center 
#COVID19 #COVID… https://t.co/WbCU3DgGZx",1
BBC News - Coronavirus: How Turkey took control of Covid-19 emergency https://t.co/Qwjb4m4Txv,1
"For now, the pandemic offers Turkish President Recep Tayyip Erdogan and the AKP a convenient excuse for the ailing… https://t.co/kwtkvaLTvA",1
"@RussianGrainTra 
Hakan Bahçeci will be put to his eternal rest in Bolu, Turkey on Sunday, 31st May 2020.
Due to th… https://t.co/rbc438yooL",1
"Coronavirus: How Turkey took control of Covid-19 emergency via @BBCNews 
https://t.co/F3AYkrallY
#Turkey #Covid19… https://t.co/TxBuQHyjI5",1
@sully7777 My BIL was very sick last week. Was Covid tested just in case. Was told 2-3 days. He was negative for Co… https://t.co/94zET5P4hj,1
"COVID-19 deaths yesterday in Europe:

Spain       2
Italy         87
Germany 24
France     52
Turkey     28
Belgium… https://t.co/MjLNTqy4Zm",1
"Covid-19 deaths yesterday around Europe:
Spain       2
Germany 24
Turkey     28
Portugal  14
Ireland      6
Poland… https://t.co/5z397EbNiJ",1
"COVID-19 Impacts on the Turkey’s economy 
@AtillaYesilada1
#Turkey #Emirates_Policy_Center 
#COVID19 #COVID… https://t.co/lsBZBATbfn",1
"COVID-19 UPDATES : Latin America is the new epicentre India reports a record daily jump of 7,964 cases, China says… https://t.co/XGJu6F3Frv",1
Coronavirus: How #Turkey took control of Covid-19 emergency ⁦ https://t.co/wp5cVLn0yS,1
@FuatNalcioglu @7GeZGiN1 Fox TV Turkey news anchor Fatih Portakal among journalists targeted by President Erdoğan f… https://t.co/tuBqdDfuKR,1
🔴Turkey outpaces peers as economy grows 4.5% in Q1 ahead of onset of COVID-19 https://t.co/cAaea2jFnh,1
"@ahmedbinsulayem @dmcc 
Funeral Live Broadcast :
Hakan Bahçeci will be put to his eternal rest in Bolu, Turkey foll… https://t.co/lc5HZ9WcWA",1
BBC News - Coronavirus: How Turkey took control of Covid-19 emergency https://t.co/htF3wFrDt3,1
Minnesota Gov needs to sit down &amp; shut up. People are protesting in middle of a F'king pandemic. They are literally… https://t.co/JFTEVrFoe5,1
BBC News - Coronavirus: How Turkey took control of Covid-19 emergency https://t.co/UYl8Zp7XEn,1
"Deaths across Europe yesterday:
Spain 2
Ireland 6
Hungary 8
Poland 13
Romania 13
Portugal 14
Germany 24
Turkey 28
H… https://t.co/Vjw458KYPV",1
"German Foreign Ministry:

[Coronavirus pandemic]

""As the Foreign Ministry we thank our Turkish colleagues for thei… https://t.co/VqggU1CGCN",1
Got these beautiful birds from timbercreekfarmvirginia right before COVID-19 turned our world around. Today is goin… https://t.co/dqc59RjYqm,1
"@BorisJohnson Yesterday the UK recorded more COVID deaths than:
 
Spain
Italy
Germany
France
Turkey
Belgium
Portuga… https://t.co/lCkyqjW16W",1
"@DavidDavisMP @LordBlunkett Yesterday the UK recorded more COVID deaths than:
 
Spain
Italy
Germany
France
Turkey
B… https://t.co/73q1bG7611",1
"Covid-19/Coronavirus: Russia, India, Turkey, Iran

Current level of growth
Russia: Cases 2.5% Deaths &gt;4%
India: Cas… https://t.co/cP6tk5uARW",1
"COVID-19 Impact on Turkish financial and banking sector
@mmkubilay 
#Turkey #Emirates_Policy_Center 
#COVID19… https://t.co/u7hWmuPx0U",1
A #Syrian refugee family in Istanbul is struggling to pay rent and feed their kids. They are like many Syrian… https://t.co/LDE3pNreI0,1
"86/

Turkey (adult smoking rate was 27.2% in 2016)

Of 40 Covid-19 patients with olfactory loss, 55% were smokers.… https://t.co/ntsXHbq5hX",1
BBC News - Coronavirus: How Turkey took control of Covid-19 emergency https://t.co/VGMinv3Y7U,1
