text,id
@sandyteez @MooseMan1956 https://t.co/706Fg12geb  it appears that one thing was covered up and the change happened while COVID-19 distracts,1
"@Glaven1994 @COVID_Australia Because of the 2 week lag, if you wait for hospitals to be overwhelmed you are in Ital… https://t.co/nzXhUfxx7X",1
Coronavirus UK: Government launches test and trace programme for COVID-19 #COVID19 #Quarantine https://t.co/mAOiyyplWy,1
Robots get to work sanitising Hong Kong's subways to stop Covid-19 #Futurism #FutureTrends #Innovation #Leadership… https://t.co/TOwTjEUgbQ,1
I am aching to attend a #BLMLDN protest but I am scared shitless about covid-19 and the second wave that the UK wil… https://t.co/3toXyKWKS7,1
"Coincidence?

https://t.co/wEO43cMtjI",1
"215 more UK Covid-19 deaths, announced on Saturday.

UK death toll rises by 215 to 38,376.

#coronavirus disease 20… https://t.co/6KIeFBKJ3H",1
@augustdewey The lockdown stopped people seeing doctors in the UK and stopped all non covid routine health treatmen… https://t.co/Goo6wWV3tB,1
@Sozzinski @ObserverUK Really? UK govt management of covid is a car crash which continues in slow motion. Don't see the drop slowing.,1
"@joncraig this story is attributed to you : https://t.co/52DxwRrheo
However, Govt guidelines updated 29.5 state shi… https://t.co/kRyH8Z0C7M",1
The UK Government: Save the London theatre scene from collapse after COVID-19! - Sign the Petition! https://t.co/lqlyxE1gGJ via @UKChange,1
@CraigTh86810499 The LNP obviously hasn’t learnt from the pain austerity has caused for Europe. Surely no coinciden… https://t.co/9V2Nc8JuFw,1
Hot girl summer could curb the spread of Covid-19 as virus particles spread in water will evaporate in sunny female… https://t.co/fiPOK73eaS,1
"We are recruiting 18-55yrs old health care workers and public facing key workers
Register online… https://t.co/ebIPFlpmQb",1
for those in the UK looking to bring justice to George Floyd’s death (also v applicable if you’re outside the UK st… https://t.co/LxiuQxBc3a,1
"Top 5 highest reported covid related deaths in the world yesterday 30th May 2020:

1. USA - 1,009
2. Brazil - 890
3… https://t.co/FYsWWMGNOp",1
@KCMANC @SirWilliamD Hancock is a totally shameless rat. Instead of hanging his head in shame over the UK's appalli… https://t.co/jwKeQnYHgc,1
Feeling sorry for the UK Government!! Those members who are serious in controling public order during the covid 19… https://t.co/mM9HsVzPe4,1
I’ve been Manufacturing washable Face Masks in the UK. Inbox to order yours  #covid_19 #coronavirus #messagetorder… https://t.co/wQLxQTnl7K,1
BBC NEWS - Coronavirus doctor's diary: Why does Covid-19 make some healthy young people really sick? https://t.co/mCEzUdYYdo,1
"Interesting to see the statistics on the top reported covid related deaths in Europe yesterday 30th May 2020:

UK -… https://t.co/IHRNPsHSzH",1
"https://t.co/vxB8JH1COU
Please vote for my VOCALIST click the link TGI FRIDAY UK social media INSTAGRAM Facebook an… https://t.co/jbv7ZCnyjM",1
"England risks COVID-19 resurgence by ending lockdown too soon, scientific advisers say - https://t.co/nZRaGfbcqi… https://t.co/hQNOh9JnRu",1
Ricky Martin planning initiatives to help deal with Covid-19 'aftershock' https://t.co/hCFdBTRbf5 #RileyCamryn https://t.co/Iz0DKd4YKM,1
"H.R. 6666 bill allows strangers to enter your house, test you for COVID-19 and take family members into quarantine  https://t.co/nPxNFv1CqO",1
@feverdawn a black woman in the UK was literally spat on by smne who claimed to have covid whilst doing her job &amp; t… https://t.co/SgsIs6gxuy,1
"@piersmorgan The UK will have the highest Covid mortality in the world, and nobody there seems to care!",1
#PremierLeague has welcomed the announcement by the #UK Government permitting the return of competitive sport in En… https://t.co/8lgTTwMGjg,1
"@MattHancock At a time of national crisis, with UK having suffered the catastrophe of the highest rate of confirmed… https://t.co/zapknz8UNe",1
@Chronomaton @Assassins_UK @AshrafAIsmail U have ps4 but me don't have any game console to play with. And every whe… https://t.co/NaymkpoLz4,1
"How the lockdown changes will affect you | News | The Sunday Times https://t.co/JM247nJc04 The UK has added 17,000… https://t.co/XXm8oqFzNv",1
"Top 5 countries with the most number of confirmed COVID-19 cases:

🇺🇸 US 1,769,776
🇧🇷 Brazil 498,440
🇷🇺 Russia 396,… https://t.co/JKARIdPhsH",1
"""We need proper information to inform our responses to the virus, both clinical and societal. Instead, we have no i… https://t.co/lziEQi1Axo",1
@Normanjam67 Does anyone honestly think the original policy of letting covid-19 run through the UK population has c… https://t.co/08A23R6DJ1,1
"In a letter sent to No 10, 26 senior UK academics... say trust has been “badly damaged by the recently reported act… https://t.co/keE3YSGNgu",1
"Scientist says doorknobs, handrails and shopping trolleys should be coated in copper because the metal kills Covid-… https://t.co/S3mZEheEj9",1
