text,id
"@andreagogz NUMBERS OF USA:
Unemployed: 43,257,129 
COVID Cases: 1,797,949 
COVID Deaths: 104,634 
Food Insecure: 76,325,600",1
"@realDon97948902 NUMBERS OF USA:
Unemployed: 43,257,129 
COVID Cases: 1,797,949 
COVID Deaths: 104,634 
Food Insecure: 76,325,600",1
@veronica_helm @KwikWarren He's Covid-19 of USA,1
"@RangersCD @TeamTrump @realDonaldTrump NUMBERS OF USA:
Unemployed: 43,257,129 
COVID Cases: 1,797,949 
COVID Deaths… https://t.co/nTNOiofO5w",1
Are you making decisions on how to SAFELY reopen your #workplace after #COVID19 closures? We are here to help! Our… https://t.co/xzL7vhsbG2,1
we all need to join hands together and pray for USA because covid-19 has killed so many of our brothers and sisters… https://t.co/29Z6QlEMjt,1
"@washingtonpost NUMBERS OF USA:
Unemployed: 43,257,129 
COVID Cases: 1,797,949 
COVID Deaths: 104,634 
Food Insecure: 76,325,600",1
A friend of mine in Armenia told me that elderly people who are passing away they are paying the families money to… https://t.co/IGya6z0KUq,1
"@BrianaWhitney NUMBERS OF USA:
Unemployed: 43,257,129 
COVID Cases: 1,797,949 
COVID Deaths: 104,634 
Food Insecure: 76,325,600",1
"@TeamTrump @realDonaldTrump NUMBERS OF USA:
Unemployed: 43,257,129 
COVID Cases: 1,797,949 
COVID Deaths: 104,634 
Food Insecure: 76,325,600",1
"@thehill NUMBERS OF USA:
Unemployed: 43,257,129 
COVID Cases: 1,797,949 
COVID Deaths: 104,634 
Food Insecure: 76,325,600",1
"@PressSec @realDonaldTrump @DavidBrodyCBN Blessed??
Obsessed!!  Posessed!! 
The Usa is the most severely affected c… https://t.co/o1EjUOtxdQ",1
"@marcofeliciano Deixede ser OTÁRIO!🐂
EUA dizem NÃO à cloroquina!
👉🏻 U.S. hospitals said they have pulled way back o… https://t.co/xDP6P87sBO",1
"The Real Reason Why!
USA:
Unemployed: 43,257,129 
COVID Cases: 1,797,949 
COVID Deaths: 104,634 
Food Insecure: 76,… https://t.co/6M3NquVJvq",1
"@POTUS @WhiteHouse @VP

TRUMP COVID PANDEMIC UPDATE - DAY #92 
   1,811,220 Cases (30% worldwide)
       105,432  D… https://t.co/5MyzbiRNH6",1
"TRUMP COVID PANDEMIC UPDATE - DAY #92 
   1,811,220 Cases (30% worldwide)
       105,432  Deaths (28.6% worldwide)… https://t.co/Z7ILDC155H",1
"@AdamParkhomenko 105,432 Americans are dead on from COVID. This represents 28.8% of the deaths worldwide, more than… https://t.co/hW23PhqJDJ",1
Pestilence followed by economic hibernation; covid-19 deaths followed by destitution for many others; churches clos… https://t.co/V3gtATA89Y,1
3. @realDonaldTrump @POTUS  Go ahead and release your Vicious Dogs/Ominous Weapons. People are 1000x more likely to… https://t.co/QKPHMDc1gf,1
@ABC7Kevin @Kennedybernie Agree with the protest but remind me how many people are dying with Covid-19 in the USA.… https://t.co/xFJLo7WEAQ,1
"@LucasCosta1505 @1960Rosane @apbbolsonarista @OsmarTerra EUA dizem NÃO à cloroquina!
👉🏻 U.S. hospitals said they ha… https://t.co/0PXiQcgo4s",1
"@realDonaldTrump 

TRUMP COVID PANDEMIC UPDATE - DAY #92 
   1,811,220 Cases (30% worldwide)
       105,432  Deaths… https://t.co/80kPTcfkA8",1
"@BorisJohnson 38,376 deaths on your hands. 2nd place in the world for total COVID-19 deaths.  Only USA has more tha… https://t.co/0wjfNBB23G",1
@JohnPirate5 @LastGuyLaughing @dbongino No John I’m not... I’m dismayed the USA has among the worst numbers against… https://t.co/fsdQELSctR,1
"Saw this going around and it rings true. 

Stay safe, from more than Covid. @ USA.United States Of America https://t.co/I3VxAvcnKv",1
@JohnHoguePrphcy Predictions of final pope &amp; USA president may happen with BREXIT. Prediction of Scotland taking po… https://t.co/KwPwu2c1pS,1
@CNN Hahaha what a joke! A man lost his LIFE by police who were supposed to be the PROTECTOR of people!! And if bla… https://t.co/8q8oeHxNuq,1
"USA COVID-19 stats as of 05:30 PM on May 30, 2020

🦠 Cases 🦠: 1,814,311 (+2,770.0)
☠️ Deaths ☠️: 105,480 (+128.0)
U… https://t.co/5yvjB4jiU6",1
"@RepKirkpatrick Democrat rioters get Covid-19 while destroying America in Democrat controlled cities, Democrat poli… https://t.co/zq11VAtjmh",1
"@JonPegasus I reported that account. Nearly all his tweets put forward the view that Zionists caused:
Dominic Cummi… https://t.co/bJXNVV6FZi",1
Countries like Vietnam and South Korea took the Covid-19 issue seriously and reacted swiftly with masks and contain… https://t.co/gJXeHMYsm1,1
"@ClaireHastie1 @MatthewEFrey @keyeri The only ones I know of are @OpenMedF at Stanford in the USA, who are doing th… https://t.co/zKVP46LswN",1
"Officially we're at 1.8 Million infected with Covid-19 in USA and 105k people have died because of it. 

So please… https://t.co/ZjMbqW8fMa",1
Our last Covid-19 delivery in New Berlin today.  What a blessing it has been to volunteer with @KhalsaAid_USA durin… https://t.co/4xgywfmkEh,1
I couldn’t even bring myself to watch the launch of SpaceX 🐉 today. My blood still boils over the video of what hap… https://t.co/F9BuGPkuZk,1
@Killamarshtrek @mrdanwalker ffs usa is burning   hong kong is fucked various labour mps just ignored rules  Sir Do… https://t.co/eVAIyVyGcV,1
@doniveson I read very recently you’ve extended the state of emergency for Edmonton through the summer. Imagine how… https://t.co/lNklifUev2,1
"So, @Tiffany44541244, this report mentions a preprint which reviewed 100 antibody tests in the USA, with postive fa… https://t.co/o9da2HXZcU",1
#LaunchAmerica shows how important covid 19 is if this bullshit waste of money is trending. I don't see what this p… https://t.co/3sQTsBtHxY,1
@SoBoredMp4 @Donnaforgotta @RVeseling @heavnlygolden @bneura_ Also he has takes away the fund from who which is a s… https://t.co/AJzgs0Lqv6,1
The Canada/USA border closing due to Covid-19 has diabetics in America who rely on Canada for cheap insulin worried… https://t.co/YfAMtMVTcY,1
"@BBCWorld TheDeadOfHunger=trump is an abusive vulgar.  Of course, the WHO is part of the UN. The performance of the… https://t.co/cFLNsFOu3D",1
@drnic @dhh @brandonshar Blaming the entire USA for the crimes of a few within a city or state is like saying Austr… https://t.co/6jnmTewyLl,1
#COVID-19 has taken the back seat now in USA 🇺🇸...,1
"@littlebighorn09 @MichaelAOShea @curaffairs As an example of the baked in racism in the USA. 
America’s original si… https://t.co/CCHRuOeAyf",1
"@thehill Applause, applause !!!!
Great day to celebrate USA 
COVID, protests, riots , unrest, death must all be fak… https://t.co/i3HgLYCLQP",1
Will #employers that do not offer #workfromhome opportunities be at a disadvantage for #hiring talent post… https://t.co/q2ByPnL8tc,1
@NadineDorries For ‘bad-tempered’ please read ‘justifiably furious.’ And there are a lot of us feeling the same way… https://t.co/9LIlOF9C0c,1
@realDonaldTrump @nytimes @washingtonpost Well Covid-19 is not the number 1 danger in the USA anymore...,1
"Daily increase in the number of infected with COVID-19 in May:
Russia - about 8000 people.
USA - about 22,000 peopl… https://t.co/9Jhol0QBw8",1
"Trump's new pandemic response team at work.

#maga #Resist #tcot #qanon #wwg1wga #potus #gop #usa #Trump2020… https://t.co/xftObDwIHJ",1
"By the end of Monday, the 7 leading countries for Covid 19 infection will include:-
- the USA
- Russia
- Brazil
- U… https://t.co/AuYD9Ylum7",1
@SmashProJJFF @BigLarf covid+can/usa border will def delay mine which is fine cuase you know safety and peoples job… https://t.co/dmMG8R5pOV,1
"Free Subscription - #IRS reminds taxpayers, businesses, #TaxPros and everyone to subscribe to get email updated on… https://t.co/Ky7h0SIMag",1
"“Life-changing event” of COVID-19 could alter how we work, spend and retire - USA TODAY https://t.co/PqPjC874WI",1
"@Ann_Kirkpatrick Democrat rioters get Covid-19 while destroying America in Democrat controlled cities, Democrat pol… https://t.co/Sfmy3jvSPG",1
"Ten days after the Wisconsin Supreme Court struck down all health department rules, Covid-19 is growing faster than… https://t.co/QqeQFCkN8O",1
Let’s see how cocky the ignorant selfish protesters are after they test positive for Covid-19. Big spike expected i… https://t.co/I1iPMnEglQ,1
"Comparing two USA county death rates:

FL Miami-Dade County: 2.7 million &gt; 700 COVID-19 deaths
&gt;&gt; 259 Deaths Per Mi… https://t.co/E1TaWixcBV",1
@JimBridenstine @NASA @SpaceX Great smoke curtain for something the USA already did in the '60s. 100.000 covid deat… https://t.co/0UTBFWbQ3k,1
"COVID-19 death rates per million population, per @Worldometers.  Top-10 (i.e., worst 10):  

Belgium 816
Spain 580… https://t.co/dtnDCSoJm1",1
Tom Frieden thread on COVID in the USA https://t.co/REmWqyf2d9,1
"What's the 2020 timeline now? 
Jan. - WW3 (USA vs. Iran)
Feb. - Wildfires (Australia) 
Mar. - Covid 19 Lockdown Sta… https://t.co/rLsQ9JnF1Q",1
"Dear Prime Minister Trudeau

I realize you have closed your border to the USA due to Trump's lack of response to CO… https://t.co/jEwemGrdb8",1
Damn COVID-19 is going to feed fat looking at the protests across the USA.,1
"5/30 USA #Georgia #coronavirus update: 46,286 cases. This is a 1% (616 cases) increase from yesterday. Top 4 counti… https://t.co/ajAharFC08",1
"USA COVID-19 stats as of 05:00 PM on May 30, 2020

🦠 Cases 🦠: 1,811,541 (+355.0)
☠️ Deaths ☠️: 105,352 (+10.0)
Upda… https://t.co/F7fEDzp324",1
"@isma_usa
FRWRDD as Rcvd
FOR COVID 19
Check this out https://t.co/ODGMwACbBL",1
"#SpaceX historic launch 
#ICantBreathe protests 
Seems like #covid #pandemic is a thing of past in #USA",1
@ec_kag @mccaos111 @Hiqutipie @Usa1cap @MSgt4Life @AngelinaAmica @DuriavigRobert @Tadpole10154654 @ToddTrumpster… https://t.co/NmeAeXtCIX,1
@BigLarf @SmashProJJFF i know covid+usa/can border will probably mean a monthish but damn im hype.,1
"No hockey still thanks to COVID, but at least I can watch @LZR_JFear play the @IIHFHockey Esports Cup. Nice win ove… https://t.co/mEp5cR7Xgw",1
"@GloriaG51363456 @StoriesTweet @dbongino Haters.. no I'm not a hater. 
Trump is most probably the worst president i… https://t.co/vhq2qIsgXH",1
"I see systemic problems and the symptoms that stem from them.

Covid 19 exposed how poor the healthcare system in t… https://t.co/ftKdIV27rV",1
@OpenSystems_ You know other countries made this type of behaviour during COVID a crime right? Like all other civil… https://t.co/QPGmflSlLa,1
Drive-in cinemas are making a comeback during COVID-19 | World Economic Forum❤️❤️❤️ https://t.co/YDJ2SHm9me,1
Salad is free in USA now but my grandfather (a long march veteran) boiled weeds and leather belts to eat during the… https://t.co/oicJjt20y2,1
"@NASA @Space_Station @NASAKennedy Meanwhile back on Earth in the USA:
1,811,423 cases of COVID-19
1,178,014 active… https://t.co/YOO8AmjVuP",1
"@NYCMayor .@SenSchumer @NYGovCuomo and @NYCMayor are the THREE STOOGES OF #COVID19 .

NY is 45% of USA deaths, only… https://t.co/T6MvvXR7cE",1
Accompanied by an unexpected internal national crisis currently being faced and the absence of any abilities to con… https://t.co/Hnn3lOerWy,1
"USA save the whole world in Hollywood movies during Pandemic*
After watching covid-19 situation in USA.

Whole worl… https://t.co/okeXfgVy36",1
"If you're looking for somewhere to hang for the evening, come chill with Sami! Also if you have money to donate (wh… https://t.co/aZeCgXNXHC",1
"USA. $840,000 bill for covid treatment https://t.co/phLHdJQL75",1
#COVID19Pandemic becomes more challenging now for the world with the higher contributors to daily case increase bei… https://t.co/7m0GwNmFU7,1
"PRO/AH/EDR&gt; COVID-19 update (220): global, USA, Italy genomic studies, WHO  https://t.co/6K31VPcfD7",1
"@amlivemon Because civil war raging in USA in the midst of covid, clearly. It looks HORRIBLE from the outside, that’s all I can say.",1
@thehowie @dougmillsnyt @maggieNYT @realDonaldTrump but it has in over 43 countries including the USA .  Hell that… https://t.co/24wYm3metY,1
"@TurnerDigital @HardingMike @RogerHelmerMEP Britain and the usa have the highest Covid deaths.
That is a fact and i… https://t.co/BVS3I49duU",1
"@SpaceX 🇺🇸🇺🇸🇺🇸🇺🇸 Don’t ever count out America. Only in USA we will record 100k COVID deaths, witness civil riots wi… https://t.co/YWvybXb8JO",1
"🇺🇸🇺🇸🇺🇸🇺🇸 Don’t ever count out America. Only in USA we will record 100k COVID deaths, witness civil riots with burni… https://t.co/1UV6EQsiFL",1
"#CoronaVirus Cases - Most affected countries
USA 1,810,937
Brazil 469,510
Russia 396,575
Spain 286,308
UK 272,826
I… https://t.co/YrdxGCIXGK",1
"I have failed to congratulate  the CEO of Space X, Elon Musk, a South African, for launching a space ship to the in… https://t.co/Y0siu46Y9x",1
