text,id
"[30th May] (#Europe) Coronavirus disease (COVID-19) pandemic timeline
#CoronaVirusUpdate… https://t.co/qpXYx1HPuP",1
Surviving Covid-19 May Not Feel Like Recovery for Some https://t.co/KA7ranixip,1
@COVID_Australia 1. No real evidence that the virus is weather dependant although logic suggests it would be factor… https://t.co/5MxUbTx6UP,1
"Covid death count is higher than gov says

https://t.co/plzpX13YLk",1
@rampage198 I have tweeted a lot recently but I think the world can learn a lot from Germany. LOok at how that nati… https://t.co/m45so99clP,1
"As new deaths and cases fall in the United States, Europe and Asia, Latin America now stands as the world's sole re… https://t.co/zrHbYnGGYX",1
"The Economist suggests that the Covid-19 death toll in the US is neither exceptional, nor worse than in Europe. I b… https://t.co/fxYwLsDXyV",1
"@MattHancock The fact that you have benefitted from massive funding from horseracing, no surprise that Cheltenham w… https://t.co/tKq8djvHXC",1
@madh_ur @thewand56673788 @CNN The US has 30% of total COVID-19 cases and 40% of active cases in the world. America… https://t.co/kL7tPI51aX,1
"Where's ISIS? ducking from Covid? No more news from Lame stream media lying to us? All terrorist ""Alleged"" ISIS bom… https://t.co/5upF4hYTFB",1
COVID-19 has accelerated adoption of non-contact #patient #monitoring technology that can be leveraged by… https://t.co/UvNrQ4nlKD,1
I wonder why @tedlieu has called out the White Supremists who have supposedly started the looting and riots? He see… https://t.co/hpfaoZCbSR,1
"Charter flights to ferry U.S. Open tennis players and limited entourages from Europe, South America and the Middle… https://t.co/Jrd89JxFc3",1
"Btw Covid deaths nearly hitting 40,000.. the worst in Europe. The prediction in March was around 15k deaths for 202… https://t.co/ot00j2jeWV",1
@CraigTh86810499 The LNP obviously hasn’t learnt from the pain austerity has caused for Europe. Surely no coinciden… https://t.co/9V2Nc8JuFw,1
378 in Lagos got me really confused @NCDCgov Are we dealing with d same strain of covid 19 virus from Wuhan or Euro… https://t.co/o7nLljQUyB,1
"Interesting to see the statistics on the top reported covid related deaths in Europe yesterday 30th May 2020:

UK -… https://t.co/IHRNPsHSzH",1
Interesting thread on the international implications of COVID as journalists travel Europe to show the situation. https://t.co/L7qvgheDUO,1
@Glaven1994 @666shaun666 @COVID_Australia Possible danger is ski resorts reopening. Already seen huge spread at ski… https://t.co/ziG749sJ46,1
@feverdawn a black woman in the UK was literally spat on by smne who claimed to have covid whilst doing her job &amp; t… https://t.co/SgsIs6gxuy,1
DFA: The latest figures continue to highlight the different stages of the COVID story across the four major geograp… https://t.co/UREZnjRS1i,1
"So today, more People died of COVID in the UK than the rest of Europe put together.  That's quite a thing. 

School… https://t.co/ik2nLxnzTG",1
@ISpeak4Me_HBU @richardvogt2019 @theintercept @mehdirhasan Because he was being racist. He shut China out while sim… https://t.co/piX078BPql,1
"#Lufthansa Flight - 200 mainly German workers
COVID-19 first post-lockdown flight from Europe lands in China airpor… https://t.co/UrhWRXwYwZ",1
"Naturally, after Merkel turned him down.  Europe already met on the Covid-19 subject, but Trump turned down being a… https://t.co/OUwxvvDIxc",1
@mccdoe3289 @kjemcgregor @morticianbri we were given false information frm China n the WHO. Trump stopped travel fr… https://t.co/8ykmfqpOHf,1
"@maggieNYT No Canada , No Europe. Russia #1 on the list. India where he’s invested money in towers and fake anti-co… https://t.co/6ChcydyDQy",1
"Telemedicine experienced a huge surge in adoption over the past few months, during the #COVID19 pandemic. With peop… https://t.co/bx0rvIMFPb",1
"Ignoring vital population figures, these kind of statistics are often misleading
https://t.co/Dq2kpTGPPO",1
"Nigeria positive cases of Covid-19 are rising while in China, the source of the virus, and in Europe, the numbers a… https://t.co/AxnMOQZoHK",1
"Covid-19 wave 1: China (extreme measures, zero new cases)
Wave 2: Europe and North America (variable responses, cas… https://t.co/njiG0hAvlm",1
"@BwadeGardencare @MattHancock No our death rate isn't much higher than the rest of Europe combined. Let me guess ""Y… https://t.co/N5krFuSdEw",1
"""Yes, in the EU system no one is above the other. The Pope is above the #Church, the Cens is above the Cens, the Fr… https://t.co/Bp6T9ybZ3W",1
@TammyLy90746227 @whiskyhelps @blackadder41867 @SpeakerPelosi By the time he got around to his partial ban of China… https://t.co/kKtuvrpaMv,1
@DrMarjoriePHow1 @AndrewCNorman @elijahmckenzee @Fridays4future @fff_europe @fff_digital @isabelle_ax @vanessa_vash… https://t.co/a62knpxXKj,1
"@FedPorn We call this the ""Covid shit storm cloud"".  They keep coming, through the gulf streams, across the Pacific… https://t.co/c6IZjEz4iJ",1
@COVID_Australia I’ve heard some doctors in Europe are very worried about their next winter.  I guess only time will tell.,1
"US Open 2020. ‘Charter flights to ferry U.S. Open tennis players and limited entourages from Europe, South America… https://t.co/jxz3OyMPLo",1
The Economist | The virus detectives via @TheEconomist https://t.co/946ye4dzU7,1
@COVID_Australia SH land masses separated by alot of water. Australia able to close borders. Stop and quarantine re… https://t.co/TJHqUl1u6N,1
Differences between the age-structural vulnerabilities to COVID-19 deaths of youthful countries and more mature pop… https://t.co/POgM3TVbY6,1
Touchless and Short-Range Wireless: a Path to Normality Beyond Covid-19? - EE Times Europe https://t.co/778duxX9p2 https://t.co/QTxc6ElVv4,1
"“Rodriguez said the past 2 months have ‘marked my life,’ as he has had to accompany ‘such great suffering’ in many… https://t.co/5UZNq7oqmB",1
"@City_Livery_SM @SkyNews - [ ] United Kingdom
- [ ] Country in Europe
- [ ] Area: 242,495 km²
- [ ] Population: 66.… https://t.co/mmq5KNpLXy",1
"""As forecasts of the pandemic’s economic damage emerge, central and eastern Europe look especially precarious.""… https://t.co/dMzZxqGvm9",1
"""The snags in delivering Putin’s bonus promise is more than just one bureaucratic glitch. It’s about a top-down gov… https://t.co/JQBY1QhK4I",1
"@jsfraser331 @GovRaimondo Maybe we can hope and pray ... 🙄

Despite all the worldwide death and suffering,
the jury… https://t.co/nvxPGPbXfr",1
"everything's fine, we shouldn't worry about the most deaths in Europe not just yesterday but all #Covid_19
Everythi… https://t.co/cHTGYCqql6",1
"#Covid_19 #Trump 
Hello  europe ....i have never seen a tails for trump and usa like you ..you know that trump disc… https://t.co/1iDjBFF9M9",1
BBC News - Coronavirus: How Turkey took control of Covid-19 emergency https://t.co/DE0zRLxCy9,1
"Policy Points 📢:  
- 🇺🇸 Shared systemic abuses, #GeorgeFloyd, #COVID &amp; economic fallout- https://t.co/dgqLWSO6S4
-… https://t.co/q9rt9y8oN2",1
"@cnni Europe is trying to carve out their own style of leadership, as she is one of the pioneer leaders,  will not… https://t.co/2lXsVxugZt",1
"Part 3
21. #Wuhan lockdown ends
22. 100K COVID-19 deaths
23. Easter Sunday tornado outbreak
24. 2 million COVID-19… https://t.co/ovAd4vFJsO",1
»... seeing America’s experience of the epidemic for what it is: highly uneven geographically; disproportionately h… https://t.co/wSo6zXMABm,1
Experts from Latin America and Europe make recommendations on beach tourism due to the COVID-19 crisis… https://t.co/bYeDi3QGVa,1
".@MichelBarnier telling @BorisJohnson to keep his promises else #NoDeal #Brexit.

#Europe is racking up billions du… https://t.co/XN7jKXwwSa",1
@Eurocontinent @JMJalel_H @yusufkkabatas Then I wish and hope you also have a Bashar and Saddam style kings and tir… https://t.co/YmTq4tJvp9,1
The latest figures continue to highlight the different stages of the COVID story across the four major geographic r… https://t.co/LrivQS5uqI,1
"@benosully Benefit of hindsight - but led by the science at the time. Europe arent reporting all their deaths, thei… https://t.co/94LHEFIslD",1
"The anonymous civil servant explains: “while Europe starts to recover from the impact of the virus, Brexit Britain… https://t.co/DtameHJA5O",1
"@ClayTravis @noah161_ Something for you to consider 
Euro pop 740 Million 
COVID total deaths 367,000  
( 1 death p… https://t.co/JGQbIeFD23",1
@MaxMiracle4 @InsideOut1922 @SusanSu19073282 @robbystarbuck @cangal21 @realDonaldTrump @SecretService If he was try… https://t.co/XxQBh9wbU7,1
@BBCRealityCheck bbc continues to state US has worst Covid figures in world but as you rightly state in… https://t.co/2qGiXFOoiU,1
“In the autumn there will be a second wave. Sweden will have a high level of immunity and the number of cases will… https://t.co/ZtIwZMF1xO,1
"A low-tech technique that worked in Asia is working in Europe, too https://t.co/QcxlBs87cU",1
"@MMFlint African Americans are dealing with two viruses:  Racism and COVID-19!

Google Search Images:  Human Zoo Pi… https://t.co/xcz9aG5gdh",1
I could not give less of a fuck about football or horse racing coming back. The fucks I could give about sports bei… https://t.co/wIU711GOLM,1
"@CornelWest African Americans are dealing with two viruses:  Racism and COVID-19!

Google Search Images:  Human Zoo… https://t.co/Mq6imAXFHP",1
"@RepValDemings African Americans are dealing with 2 viruses:  Racism and COVID-19!

Google Search Images:  Human Zo… https://t.co/skgBYwshMU",1
"@Benmnicklin @flanniganchant1 @KateWilton1 @MattHancock So you're a facts man then are you Ben? So you agree, then… https://t.co/mnWyht9vse",1
"#ABCNews

As more back testing occurs on people who died late last year showing symptoms of Covid-19 its been disco… https://t.co/hriKX61vnq",1
"You can also look at it the other way around – the share of daily COVID-19 tests that are positive.
Most countries… https://t.co/N7I76SOXBj",1
Coronavirus: How Turkey took control of Covid-19 emergency https://t.co/2IUYd5HRQ0,1
"Potential US Open tennis plans, per the AP, include charter flights from Europe, South America and the Middle East,… https://t.co/VGflvSQOGZ",1
Rodgers reveals he had COVID-19 https://t.co/UthPL9omja,1
@Chem2006 It might be worth the risk if we had an efficient way to catch new clusters of cases quickly. We haven't… https://t.co/73PylJpuJP,1
@Laurie__Jane1 @LuckyHeronSay Only number that is relevant is excess death rate or z-score. Compares no of deaths d… https://t.co/1ehStQVCiN,1
@KingMaxMcDonald @NobbyCycles @LuckyHeronSay @JohnBaker1975 The problem is not in UK. It’s in England. England is t… https://t.co/z6SBrRhsVi,1
NY Democrat Governor Andrew Cuomo #LIES: ‘This Virus Came From Europe’ Not China?? Duh Wuhan China Corona Virus COV… https://t.co/hbpNgWBtjX,1
"@timmyvoe The Russian report, the Patel report. 

It’s been proven that the UK had the worse excess rate in Europe… https://t.co/kT96ilR8NU",1
"@RedBlog1 @LuckyHeronSay @TheProleStar England is the sick man of Europe not Scotland, Wales or NI. 
https://t.co/gAHXEKA9t0",1
"#coronavirusaustralia 

As more back testing occurs on people who died late last year showing symptoms of Covid--19… https://t.co/XxXgUCJbDe",1
"Charter flights to ferry U.S. Open tennis players and limited entourages from Europe, South America and the Middle… https://t.co/o1fwrMizUE",1
"@SpecialistVisa @Joyuslyfly The EU shutdowned it's external borders around the same time about March 17
https://t.co/4P3BUnTc5S",1
